Unique Txt files (English):	21862
Zip files:	28530
Tokens:	1389532368
Words:	7145137

Words		Freq

3719789		1
1483119		2
408907		3
307147		4
150142		5
133001		6
83334		7
77611		8
54661		9
51523		10
38193		11
37375		12
29320		13
27504		14
23487		15
22668		16
18824		17
17904		18
15624		19
16096		20
12921		21
12227		22
10891		23
10916		24
9493		25
9321		26
8505		27
8483		28
7505		29
7345		30
6717		31
6683		32
5970		33
6030		34
5326		35
5512		36
4922		37
4893		38
4527		39
4652		40
4252		41
4223		42
3859		43
3946		44
3724		45
3635		46
3383		47
3364		48
2978		49
3026		50
2909		51
2891		52
2700		53
2684		54
2454		55
2545		56
2478		57
2360		58
2297		59
2298		60
2185		61
2147		62
2002		63
2053		64
1851		65
1942		66
1816		67
1766		68
1839		69
1719		70
1668		71
1687		72
1503		73
1672		74
1472		75
1459		76
1427		77
1464		78
1348		79
1369		80
1294		81
1287		82
1224		83
1324		84
1285		85
1233		86
1200		87
1238		88
1155		89
1089		90
1068		91
1075		92
1068		93
1141		94
1013		95
1054		96
971		97
1033		98
960		99
934		100
913		101
889		102
876		103
904		104
904		105
905		106
819		107
824		108
857		109
842		110
819		111
800		112
800		113
785		114
799		115
812		116
773		117
710		118
740		119
702		120
701		121
687		122
660		123
708		124
643		125
614		126
635		127
666		128
584		129
613		130
597		131
650		132
620		133
608		134
556		135
595		136
638		137
571		138
548		139
563		140
526		141
550		142
492		143
518		144
510		145
540		146
494		147
494		148
479		149
491		150
483		151
441		152
470		153
436		154
483		155
476		156
472		157
426		158
453		159
413		160
464		161
461		162
401		163
453		164
411		165
433		166
413		167
415		168
410		169
398		170
405		171
425		172
412		173
384		174
368		175
400		176
380		177
349		178
332		179
371		180
331		181
357		182
355		183
321		184
344		185
353		186
336		187
353		188
308		189
358		190
318		191
326		192
299		193
320		194
311		195
344		196
301		197
311		198
310		199
297		200
305		201
315		202
306		203
305		204
289		205
281		206
261		207
288		208
281		209
282		210
282		211
281		212
246		213
292		214
266		215
263		216
266		217
295		218
275		219
253		220
279		221
467		222
234		223
273		224
233		225
265		226
285		227
261		228
241		229
235		230
255		231
218		232
240		233
258		234
231		235
216		236
250		237
234		238
230		239
278		240
202		241
226		242
188		243
214		244
227		245
212		246
227		247
213		248
228		249
206		250
209		251
207		252
227		253
210		254
231		255
202		256
200		257
179		258
204		259
189		260
172		261
184		262
195		263
194		264
170		265
176		266
200		267
188		268
177		269
191		270
185		271
205		272
185		273
168		274
189		275
197		276
209		277
198		278
171		279
181		280
182		281
184		282
151		283
182		284
156		285
187		286
186		287
170		288
159		289
189		290
163		291
188		292
154		293
158		294
153		295
166		296
154		297
157		298
157		299
147		300
164		301
162		302
147		303
145		304
147		305
136		306
159		307
166		308
142		309
155		310
145		311
158		312
164		313
147		314
156		315
161		316
134		317
129		318
141		319
121		320
164		321
154		322
139		323
143		324
135		325
134		326
155		327
125		328
139		329
115		330
132		331
135		332
127		333
129		334
136		335
110		336
142		337
133		338
128		339
129		340
134		341
135		342
120		343
138		344
143		345
129		346
108		347
130		348
114		349
108		350
121		351
119		352
124		353
112		354
130		355
115		356
140		357
111		358
110		359
115		360
108		361
101		362
102		363
113		364
132		365
124		366
98		367
105		368
129		369
133		370
124		371
139		372
103		373
102		374
114		375
125		376
109		377
113		378
93		379
87		380
103		381
95		382
99		383
101		384
128		385
105		386
106		387
102		388
95		389
104		390
86		391
112		392
92		393
100		394
96		395
91		396
105		397
93		398
98		399
92		400
97		401
94		402
93		403
99		404
101		405
103		406
95		407
107		408
81		409
99		410
92		411
87		412
104		413
95		414
84		415
93		416
89		417
100		418
71		419
92		420
99		421
83		422
72		423
92		424
91		425
93		426
110		427
70		428
92		429
91		430
82		431
82		432
72		433
78		434
76		435
90		436
94		437
79		438
98		439
94		440
91		441
84		442
84		443
82		444
85		445
73		446
102		447
72		448
80		449
77		450
87		451
89		452
83		453
91		454
83		455
81		456
68		457
75		458
86		459
76		460
76		461
77		462
82		463
93		464
80		465
75		466
101		467
71		468
92		469
84		470
78		471
79		472
64		473
71		474
71		475
66		476
81		477
74		478
86		479
70		480
87		481
73		482
78		483
62		484
64		485
79		486
64		487
86		488
86		489
74		490
73		491
79		492
65		493
49		494
67		495
79		496
72		497
65		498
73		499
66		500
56		501
74		502
80		503
83		504
56		505
82		506
75		507
71		508
68		509
72		510
77		511
81		512
66		513
83		514
71		515
63		516
69		517
76		518
60		519
71		520
59		521
77		522
67		523
68		524
53		525
65		526
55		527
73		528
54		529
37		530
54		531
56		532
54		533
52		534
59		535
60		536
72		537
57		538
74		539
54		540
58		541
68		542
63		543
66		544
63		545
46		546
63		547
78		548
59		549
59		550
52		551
73		552
64		553
53		554
50		555
64		556
56		557
55		558
53		559
59		560
67		561
56		562
60		563
64		564
52		565
60		566
65		567
53		568
53		569
64		570
49		571
55		572
46		573
49		574
50		575
56		576
55		577
60		578
57		579
49		580
55		581
46		582
55		583
53		584
60		585
59		586
55		587
69		588
55		589
50		590
57		591
80		592
60		593
59		594
53		595
38		596
68		597
55		598
62		599
56		600
58		601
49		602
50		603
58		604
51		605
57		606
55		607
53		608
47		609
56		610
55		611
45		612
56		613
41		614
46		615
62		616
44		617
37		618
51		619
53		620
39		621
51		622
44		623
45		624
40		625
52		626
41		627
58		628
67		629
43		630
43		631
46		632
41		633
48		634
64		635
40		636
45		637
34		638
44		639
48		640
50		641
61		642
62		643
48		644
50		645
35		646
46		647
44		648
48		649
41		650
50		651
45		652
51		653
36		654
41		655
32		656
41		657
53		658
40		659
35		660
55		661
53		662
48		663
46		664
36		665
41		666
37		667
40		668
33		669
56		670
50		671
38		672
37		673
